,date,week,time,headline,news_channel,section,headline_attributes
0,2023-09-12,37,21:14:52,‘Substantial threat’ from PLA’s Fujian carrier: Taiwanese defence ministry,SCMP,int-1,class:article__link
1,2023-09-12,37,21:14:52,Malaysian detained in Norway on suspicion of spying on Oslo government,SCMP,int-1,class:article__link
2,2023-09-12,37,21:14:52,Beijing’s top political adviser picked to lead Taiwan reunification group,SCMP,int-1,class:article__link
3,2023-09-12,37,21:14:52,2 trips to savour Hong Kong’s waterfront heritage and sunsets,SCMP,int-1,class:article__link
4,2023-09-12,37,21:14:52,Aerial photos show Hong Kong whale has several head injuries,SCMP,int-1,class:article__link
5,2023-09-12,37,21:14:52,Malaysia’s roti canai named world’s best bread,SCMP,int-1,class:article__link
6,2023-09-12,37,21:15:02,"China rolls out harsh fines, tighter licensing requirements for private tutors",SCMP,int-1,class:article-title__article-link article-link
7,2023-09-12,37,21:23:34,"Data stolen from Hong Kong Cyberport includes staff details, credit card records",SCMP,main,class:article__link
8,2023-09-12,37,21:23:34,My Take | New China spy case about Tory aide sounds like more British paranoia,SCMP,main,class:article__link
9,2023-09-12,37,21:23:34,Opinion | Lessons from Haikui: Hong Kong must expect the unexpected in era of extremes,SCMP,main,class:article__link
10,2023-09-12,37,21:23:34,"The View | Done right, China’s healthcare reforms could boost the economy and more",SCMP,main,class:article__link
11,2023-09-12,37,21:23:34,Letters | 3 ways Hong Kong can better prepare for intense storms,SCMP,main,class:article__link
12,2023-09-12,37,21:23:34,Opinion | Banning clothes to protect Chinese ‘feelings’ signals an intolerant society,SCMP,main,class:article__link
13,2023-09-12,37,21:23:34,Letters | Road safety in Hong Kong is in dire need of attention,SCMP,main,class:article__link
15,2023-09-12,37,21:38:13,ECB Suspense Intensifies With Officials Split Over Rate Decision,Bloomberg,economics,data-component:headline
